[LOG] System::create                           : Header version = 2.02.15. Current version = 2.02.15.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20215 (134211), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001BC5416CE08 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SoundI::release                          :     wipe_glasse-007 (000001BCDFC8D0A8)
[LOG] SoundI::release                          :  (000001B92FE20378)
[LOG] SoundI::release                          :     wipe_glasse-008 (000001BCD9AF3098)
[LOG] SoundI::release                          :  (000001BC66744748)
[LOG] SoundI::release                          :     wipe_glasse-009 (000001BCDFC90CC8)
[LOG] SoundI::release                          :  (000001B92B10C088)
[LOG] SoundI::release                          :     wipe_glasse-010 (000001BCDFC90988)
[LOG] SoundI::release                          :  (000001B92B1852F8)
[LOG] SoundI::release                          :     wipe_glasse-011 (000001BCEBB92CA8)
[LOG] SoundI::release                          :  (000001BC66744FE8)
[LOG] SoundI::release                          :     wipe_glasse-012 (000001BCDFC8F128)
[LOG] SoundI::release                          :  (000001BC7207F708)
[LOG] SoundI::release                          :     p_jump-001 (000001B92FF3AA48)
[LOG] SoundI::release                          :  (000001BC7207F878)
[LOG] SoundI::release                          :     p_jump-002 (000001B92FF3A568)
[LOG] SoundI::release                          :  (000001BC2F5620C8)
[LOG] SoundI::release                          :     p_jump-003 (000001BC611628B8)
[LOG] SoundI::release                          :  (000001BC2F562DB8)
[LOG] SoundI::release                          :     p_jump-004 (000001BC61162578)
[LOG] SoundI::release                          :  (000001B93054C4F8)
[LOG] SoundI::release                          :     p_jump-005 (000001B92AEA3FE8)
[LOG] SoundI::release                          :  (000001B93054C668)
[LOG] SoundI::release                          :     p_jump-006 (000001B92AEA3B08)
[LOG] SoundI::release                          :  (000001BC2F562968)
[LOG] SoundI::release                          :     p_jump-007 (000001BC53BE6988)
[LOG] SoundI::release                          :  (000001B93054C7D8)
[LOG] SoundI::release                          :     p_jump-008 (000001BC6DA068B8)
[LOG] SoundI::release                          :  (000001BC2F5623A8)
[LOG] SoundI::release                          :     p_jump-009 (000001BC61163278)
[LOG] SoundI::release                          :  (000001BC2F562518)
[LOG] SoundI::release                          :     p_jump-010 (000001BC611610B8)
[LOG] SoundI::release                          :  (000001B93054C388)
[LOG] SoundI::release                          :     p_jump-011 (000001BC6DA06238)
[LOG] SoundI::release                          :  (000001B93054CD98)
[LOG] SoundI::release                          :     p_jump-012 (000001BC6DA06D98)
[LOG] SoundI::release                          :  (000001BC2F562238)
[LOG] SoundI::release                          :     p_jump-013 (000001BC61162D98)
[LOG] SoundI::release                          :  (000001B93054C948)
[LOG] SoundI::release                          :     p_jump-014 (000001BC6DA06098)
[LOG] SoundI::release                          :  (000001BC65B4E088)
[LOG] SoundI::release                          :     coin_8bit-003 (000001BC66907D28)
[LOG] SoundI::release                          :  (000001B9350DC058)
[LOG] SoundI::release                          :     coin_8bit-001 (000001BC669069A8)
[LOG] SoundI::release                          :  (000001BCD9B1DDA8)
[LOG] SoundI::release                          :     coin_8bit-002 (000001BC6CB62098)
[LOG] SoundI::release                          :  (000001BCD9B1DF18)
[LOG] SoundI::release                          :     coin_8bit-004 (000001BC6CB62578)
[LOG] SoundI::release                          :  (000001BCD9B1D678)
[LOG] SoundI::release                          :     coin_8bit-005 (000001BC6CB62A58)
[LOG] SoundI::release                          :  (000001B9350DC1C8)
[LOG] SoundI::release                          :     coin_8bit-006 (000001BC66907028)
[LOG] SoundI::release                          :  (000001BC65B4EA98)
[LOG] SoundI::release                          :     coin_ding-001 (000001BC60361DF8)
[LOG] SoundI::release                          :  (000001BC65B4ED78)
[LOG] SoundI::release                          :     coin_ding-002 (000001B92FF3C8C8)
[LOG] SoundI::release                          :  (000001BC65B4EC08)
[LOG] SoundI::release                          :     coin_ding-003 (000001BC60361C58)
[LOG] SoundI::release                          :  (000001B9350DBD78)
[LOG] SoundI::release                          :     coin_put_bass-001 (000001BC66906E88)
[LOG] SoundI::release                          :  (000001BC65B4E4D8)
[LOG] SoundI::release                          :     coin_put_bass-002 (000001BC669076A8)
[LOG] SoundI::release                          :  (000001BC65B4E648)
[LOG] SoundI::release                          :     coin_put_bass-003 (000001B92FF3C0A8)
[LOG] SoundI::release                          :  (000001BC65B4E7B8)
[LOG] SoundI::release                          :     Coin_Bag-001 (000001BC60361F98)
[LOG] SoundI::release                          :  (000001BB5F41E668)
[LOG] SoundI::release                          :     Coin_Bag-003 (000001BC66907368)
[LOG] SoundI::release                          :  (000001BCD9B1E088)
[LOG] SoundI::release                          :     Coin_Bag-002 (000001BC60361918)
[LOG] SoundI::release                          :  (000001BC65B4E928)
[LOG] SoundI::release                          :     Coin_put-001 (000001BC66908208)
[LOG] SoundI::release                          :  (000001BC65B4E1F8)
[LOG] SoundI::release                          :     Coin_put-002 (000001BC60361AB8)
